Year,DOY,Month,Day,Input_AirTemp_max_C,Input_AirTemp_min_C,Input_PPT_mm,Sim_SWE_mm,Sim_Hoh_MJm.2,Sim_Hgt_MJm.2,Sim_Infiltration_mm,Sim_DiffuseRecharge_mm,Sim_ET_mm,Sim_T_mm,Sim_E_mm,Sim_E_Snowloss_mm,Sim_E_Baresoil_mm,Sim_E_InterceptedCanopy_mm,Sim_E_SurfaceWater_mm,Sim_SurfaceTemp_C_min,Sim_SurfaceTemp_C_avg,Sim_SurfaceTemp_C_max,Sim_SoilTemp_C_min_005_cm,Sim_SoilTemp_C_min_010_cm,Sim_SoilTemp_C_min_015_cm,Sim_SoilTemp_C_min_020_cm,Sim_SoilTemp_C_min_025_cm,Sim_SoilTemp_C_min_030_cm,Sim_SoilTemp_C_min_040_cm,Sim_SoilTemp_C_min_050_cm,Sim_SoilTemp_C_min_060_cm,Sim_SoilTemp_C_avg_005_cm,Sim_SoilTemp_C_avg_010_cm,Sim_SoilTemp_C_avg_015_cm,Sim_SoilTemp_C_avg_020_cm,Sim_SoilTemp_C_avg_025_cm,Sim_SoilTemp_C_avg_030_cm,Sim_SoilTemp_C_avg_040_cm,Sim_SoilTemp_C_avg_050_cm,Sim_SoilTemp_C_avg_060_cm,Sim_SoilTemp_C_max_005_cm,Sim_SoilTemp_C_max_010_cm,Sim_SoilTemp_C_max_015_cm,Sim_SoilTemp_C_max_020_cm,Sim_SoilTemp_C_max_025_cm,Sim_SoilTemp_C_max_030_cm,Sim_SoilTemp_C_max_040_cm,Sim_SoilTemp_C_max_050_cm,Sim_SoilTemp_C_max_060_cm,Sim_VWC_000to005_cm,Sim_VWC_005to010_cm,Sim_VWC_010to015_cm,Sim_VWC_015to020_cm,Sim_VWC_020to025_cm,Sim_VWC_025to030_cm,Sim_VWC_030to040_cm,Sim_VWC_040to050_cm,Sim_VWC_050to060_cm,Sim_SWP_MPa_000to005_cm,Sim_SWP_MPa_005to010_cm,Sim_SWP_MPa_010to015_cm,Sim_SWP_MPa_015to020_cm,Sim_SWP_MPa_020to025_cm,Sim_SWP_MPa_025to030_cm,Sim_SWP_MPa_030to040_cm,Sim_SWP_MPa_040to050_cm,Sim_SWP_MPa_050to060_cm,Date,Obs_VWC_5cm,Obs_VWC_10cm,Obs_VWC_20cm,Obs_VWC_30cm,Obs_VWC_50cm,Obs_VWC_60cm,P
2008,1,1,1,-3.22,-19.67,0,0,16.40073994,6.167249926,0,0.012843029,0.148455786,0.11059945,0.037856337,0,0.037856337,0,0,-16.0334171,-15.50786989,-3.677624434,-17.21037108,-12.73497593,-8.259580786,-6.707548249,-5.155515712,-3.603483174,-2.285169754,-1.172955608,-0.84095978,-12.87068441,-10.23349893,-7.596313452,-6.241628185,-4.886942919,-3.532257652,-2.256920123,-1.170595101,-0.840320104,-8.530997742,-7.732021929,-6.933046117,-5.775708121,-4.618370126,-3.46103213,-2.228670493,-1.168234593,-0.839680427,0.121016003,0.122023009,0.12204484,0.122046424,0.122047642,0.122048678,0.242172854,0.242158188,0.242159086,-1.570345251,-1.511869002,-1.510628005,-1.51053802,-1.51046879,-1.510409926,-1.506063709,-1.506598399,-1.506565646,1/1/2008,0.0479875,NA,0.258073171,NA,0.258682927,NA,0
2008,2,1,2,1.88,-12.23,0,0,16.45624854,6.100277777,0,0.012766989,0.203968282,0.151992414,0.051975868,0,0.051975868,0,0,-8.593697443,-9.237558397,1.218722192,-11.83406943,-9.524370646,-7.214671862,-6.237089365,-5.259506868,-4.281924371,-3.028130726,-1.913124659,-1.31819744,-8.387763371,-7.537968345,-6.68817332,-5.867247274,-5.046321227,-4.225395181,-3.005711375,-1.911251968,-1.317690153,-4.941457312,-5.551566045,-6.161674777,-5.497405182,-4.833135586,-4.168865991,-2.983292025,-1.909379276,-1.317182867,0.119471864,0.121727678,0.121786052,0.121790009,0.121792904,0.121795364,0.241936315,0.241907855,0.241909967,-1.664885119,-1.52876753,-1.525411091,-1.525183875,-1.525017611,-1.524876368,-1.514709757,-1.515753252,-1.515675785,1/2/2008,0.046788889,NA,0.246755556,NA,0.258633333,NA,0
2008,3,1,3,6.04,-10.33,0,0,16.51665375,6.060693751,0,0.012679401,0.234911003,0.175111356,0.059799647,0,0.059799647,0,0,-6.693977752,-6.207246942,5.211344472,-10.11549549,-8.071082924,-6.026670359,-5.387046268,-4.747422177,-4.107798086,-3.166413231,-2.294239065,-1.65637387,-5.93423174,-5.661216538,-5.388201336,-4.93855418,-4.488907025,-4.03925987,-3.139233088,-2.291969615,-1.655759382,-1.752967991,-3.251350151,-4.749732312,-4.490062093,-4.230391874,-3.970721655,-3.112052944,-2.289700164,-1.655144894,0.117761974,0.121379157,0.121486929,0.121493892,0.121498721,0.121502819,0.24165934,0.241617796,0.241621286,-1.776917871,-1.548976208,-1.54269605,-1.542291262,-1.542010578,-1.541772432,-1.524894687,-1.526428015,-1.526299153,1/3/2008,0.048440476,NA,0.236559524,NA,0.258404762,NA,0
2008,4,1,4,3.73,-2.6,0,0,16.58192932,6.023409839,0,0.012577938,0.27218752,0.202990804,0.069196717,0,0.069196717,0,0,1.035741972,-3.496935524,2.999364659,-4.317051889,-4.155356911,-3.993661933,-3.81503606,-3.636410188,-3.457784316,-2.912111259,-2.365731904,-1.809515341,-3.627429147,-3.757922769,-3.888416391,-3.741107242,-3.593798094,-3.446488945,-2.907632242,-2.365358097,-1.80941418,-2.937806404,-3.360488627,-3.78317085,-3.667178425,-3.551186,-3.435193575,-2.903153225,-2.36498429,-1.809313019,0.115854061,0.120967844,0.12113908,0.121149827,0.121156897,0.121162889,0.241333243,0.241279447,0.241284525,-1.911787248,-1.573203249,-1.563067032,-1.562433299,-1.562016476,-1.561663373,-1.536970646,-1.538971648,-1.538782665,1/4/2008,0.0554,NA,0.233655556,NA,0.257722222,NA,0
2008,5,1,5,3.59,-1.13,0,0,16.65204646,6.013622669,0,0.012473276,0.280821809,0.209557986,0.071263823,0,0.071263823,0,0,2.505461729,-2.831624143,2.865964245,-3.067234916,-3.12259443,-3.177953945,-3.112008045,-3.046062145,-2.980116245,-2.641872503,-2.28247235,-1.837159849,-2.940630566,-3.049636989,-3.158643412,-3.098443687,-3.038243962,-2.978044238,-2.64105095,-2.282403819,-1.837141313,-2.814026216,-2.976679548,-3.139332879,-3.084879329,-3.03042578,-2.97597223,-2.640229398,-2.282335288,-1.837122777,0.113927828,0.120533429,0.120778727,0.120793815,0.120803201,0.120811138,0.240993262,0.240927769,0.240934463,-2.059446775,-1.599242811,-1.584481658,-1.583578573,-1.583017128,-1.582542462,-1.549659024,-1.552114848,-1.551863686,1/5/2008,0.061311111,NA,0.236644444,NA,0.257877778,NA,0
2008,6,1,6,2.22,-3.33,4.1,3.7457067,16.72697391,6.038176842,0,0.01237765,0.533407655,0.179114355,0.3542933,0.3542933,0,0,0,-2.157145098,-2.157145098,-2.157145098,-2.297950617,-2.438756137,-2.579561656,-2.580022549,-2.580483442,-2.580944335,-2.378655615,-2.147015748,-1.797971289,-2.297950617,-2.438756137,-2.579561656,-2.580022549,-2.580483442,-2.580944335,-2.378655615,-2.147015748,-1.797971289,-2.297950617,-2.438756137,-2.579561656,-2.580022549,-2.580483442,-2.580944335,-2.378655615,-2.147015748,-1.797971289,0.113683225,0.120162146,0.120449605,0.120468748,0.120480009,0.12048951,0.240681549,0.240604265,0.240612207,-2.079077355,-1.621872807,-1.604321503,-1.6031601,-1.602477371,-1.601901542,-1.561381269,-1.564300816,-1.564000573,1/6/2008,0.065422222,NA,0.241233333,NA,0.256133333,NA,4.1
2008,7,1,7,-1.39,-13.28,0,3.48122596,16.80667791,6.118371149,0,0.012306542,0.398248992,0.133768252,0.26448074,0.26448074,0,0,0,-4.085593434,-4.085593434,-4.085593434,-3.805926929,-3.526260424,-3.246593919,-3.06573006,-2.884866201,-2.704002342,-2.396695006,-2.088796612,-1.778533983,-3.805926929,-3.526260424,-3.246593919,-3.06573006,-2.884866201,-2.704002342,-2.396695006,-2.088796612,-1.778533983,-3.805926929,-3.526260424,-3.246593919,-3.06573006,-2.884866201,-2.704002342,-2.396695006,-2.088796612,-1.778533983,0.113443726,0.119875039,0.120203542,0.120226454,0.120239143,0.120249814,0.240451695,0.240362281,0.24037106,-2.098497893,-1.639612983,-1.619332368,-1.617928172,-1.617151096,-1.616497868,-1.570079978,-1.573476429,-1.573142634,1/7/2008,0.07,NA,0.243979167,NA,0.256,NA,0
2008,8,1,8,-2.33,-11.12,5.9,9.106195497,16.89112219,6.116304539,0,0.012233178,0.413142632,0.138112169,0.275030463,0.275030463,0,0,0,-3.741923759,-3.741923759,-3.741923759,-3.572225622,-3.402527485,-3.232829348,-3.066791061,-2.900752774,-2.734714487,-2.414056665,-2.096007432,-1.78839256,-3.572225622,-3.402527485,-3.232829348,-3.066791061,-2.900752774,-2.734714487,-2.414056665,-2.096007432,-1.78839256,-3.572225622,-3.402527485,-3.232829348,-3.066791061,-2.900752774,-2.734714487,-2.414056665,-2.096007432,-1.78839256,0.113207002,0.11958246,0.119950384,0.119977036,0.119990957,0.120002622,0.240212865,0.240111454,0.240120892,-2.117889524,-1.6579104,-1.634936984,-1.633286417,-1.632424985,-1.631703563,-1.579167964,-1.583042241,-1.582681305,1/8/2008,0.072277778,NA,0.246455556,NA,0.256,NA,5.9
2008,9,1,9,-4.03,-8.98,0,8.825458413,16.98026799,6.119746384,0,0.012158569,0.421783976,0.141046892,0.280737084,0.280737084,0,0,0,-3.693156769,-3.693156769,-3.693156769,-3.534455239,-3.37575371,-3.21705218,-3.057128434,-2.897204688,-2.737280942,-2.421249855,-2.107881458,-1.805163821,-3.534455239,-3.37575371,-3.21705218,-3.057128434,-2.897204688,-2.737280942,-2.421249855,-2.107881458,-1.805163821,-3.534455239,-3.37575371,-3.21705218,-3.057128434,-2.897204688,-2.737280942,-2.421249855,-2.107881458,-1.805163821,0.112971498,0.119286039,0.119692092,0.119722722,0.119737919,0.119750601,0.239967979,0.23985494,0.239865031,-2.137376779,-1.676676721,-1.651028094,-1.649110843,-1.648160496,-1.647367952,-1.588539233,-1.592883097,-1.592494855,1/9/2008,0.072041667,NA,0.251,NA,0.256,NA,0
2008,10,1,10,-1.63,-11.55,2.2,10.74295498,17.0740741,6.127882032,0,0.012083894,0.424104738,0.141601301,0.282503437,0.282503437,0,0,0,-3.65841767,-3.65841767,-3.65841767,-3.505565264,-3.352712858,-3.199860452,-3.044627939,-2.889395427,-2.734162915,-2.425408075,-2.119123603,-1.822720602,-3.505565264,-3.352712858,-3.199860452,-3.044627939,-2.889395427,-2.734162915,-2.425408075,-2.119123603,-1.822720602,-3.505565264,-3.352712858,-3.199860452,-3.044627939,-2.889395427,-2.734162915,-2.425408075,-2.119123603,-1.822720602,0.112737999,0.118990456,0.119433262,0.119467956,0.119484356,0.119497978,0.23972125,0.239596814,0.239607466,-2.156893039,-1.695622297,-1.667327131,-1.665132173,-1.664095688,-1.663235342,-1.598035384,-1.602845544,-1.60243323,1/10/2008,0.073466667,NA,0.252133333,NA,0.257311111,NA,2.2
